Source,Target,Since
0,41,03-02-2012
41,0,03-02-2012
1,17,16-11-2013
17,1,16-11-2013
1,34,10-02-2013
34,1,10-02-2013
1,97,27-11-2014
97,1,27-11-2014
1,33,03-09-2015
33,1,03-09-2015
1,77,21-02-2021
77,1,21-02-2021
1,28,30-09-2020
28,1,30-09-2020
1,68,18-02-2019
68,1,18-02-2019
2,95,22-05-2023
95,2,22-05-2023
2,61,27-06-2011
61,2,27-06-2011
2,33,07-09-2016
33,2,07-09-2016
2,86,12-01-2012
86,2,12-01-2012
2,88,09-07-2016
88,2,09-07-2016
2,49,30-10-2012
49,2,30-10-2012
2,6,10-10-2010
6,2,10-10-2010
2,54,11-08-2014
54,2,11-08-2014
3,36,04-11-2018
36,3,04-11-2018
3,73,26-03-2019
73,3,26-03-2019
3,52,07-04-2010
52,3,07-04-2010
3,98,01-11-2018
98,3,01-11-2018
3,37,15-04-2011
37,3,15-04-2011
3,51,05-02-2021
51,3,05-02-2021
3,47,02-06-2012
47,3,02-06-2012
3,21,20-03-2012
21,3,20-03-2012
4,72,05-04-2014
72,4,05-04-2014
4,2,21-07-2016
2,4,21-07-2016
4,50,25-12-2017
50,4,25-12-2017
4,87,31-08-2018
87,4,31-08-2018
4,42,16-12-2017
42,4,16-12-2017
4,61,20-12-2013
61,4,20-12-2013
4,54,08-08-2023
54,4,08-08-2023
4,39,23-05-2022
39,4,23-05-2022
4,55,26-09-2019
55,4,26-09-2019
4,60,22-02-2011
60,4,22-02-2011
5,33,07-01-2012
33,5,07-01-2012
5,30,16-02-2010
30,5,16-02-2010
5,26,07-05-2017
26,5,07-05-2017
5,0,01-04-2011
0,5,01-04-2011
6,74,04-04-2017
74,6,04-04-2017
6,19,24-09-2014
19,6,24-09-2014
7,35,13-02-2015
35,7,13-02-2015
7,68,05-03-2010
68,7,05-03-2010
7,38,11-10-2022
38,7,11-10-2022
7,28,29-10-2010
28,7,29-10-2010
8,82,25-07-2016
82,8,25-07-2016
9,5,01-10-2015
5,9,01-10-2015
9,99,11-05-2016
99,9,11-05-2016
10,38,18-07-2021
38,10,18-07-2021
11,89,26-01-2016
89,11,26-01-2016
11,84,04-07-2015
84,11,04-07-2015
11,21,17-05-2021
21,11,17-05-2021
11,91,10-07-2021
91,11,10-07-2021
11,87,20-12-2018
87,11,20-12-2018
11,43,27-05-2021
43,11,27-05-2021
11,95,29-10-2011
95,11,29-10-2011
11,44,11-11-2015
44,11,11-11-2015
11,85,06-05-2021
85,11,06-05-2021
11,50,07-01-2022
50,11,07-01-2022
12,22,30-12-2010
22,12,30-12-2010
13,16,09-02-2020
16,13,09-02-2020
13,8,21-05-2023
8,13,21-05-2023
13,81,13-07-2021
81,13,13-07-2021
13,95,21-03-2013
95,13,21-03-2013
13,53,03-01-2012
53,13,03-01-2012
13,24,01-11-2010
24,13,01-11-2010
13,4,01-02-2011
4,13,01-02-2011
13,44,27-03-2020
44,13,27-03-2020
13,2,04-09-2011
2,13,04-09-2011
14,88,06-11-2012
88,14,06-11-2012
14,7,16-07-2021
7,14,16-07-2021
14,5,17-10-2015
5,14,17-10-2015
14,46,14-03-2011
46,14,14-03-2011
15,32,27-01-2018
32,15,27-01-2018
15,88,30-10-2017
88,15,30-10-2017
15,5,04-12-2019
5,15,04-12-2019
15,12,27-02-2012
12,15,27-02-2012
15,46,04-10-2022
46,15,04-10-2022
15,90,12-09-2020
90,15,12-09-2020
16,69,13-03-2019
69,16,13-03-2019
16,21,25-11-2011
21,16,25-11-2011
16,14,08-07-2019
14,16,08-07-2019
17,86,12-07-2012
86,17,12-07-2012
17,88,22-07-2015
88,17,22-07-2015
17,31,25-01-2015
31,17,25-01-2015
18,92,10-10-2013
92,18,10-10-2013
18,86,27-08-2020
86,18,27-08-2020
18,53,28-03-2010
53,18,28-03-2010
18,16,28-12-2015
16,18,28-12-2015
18,76,24-04-2014
76,18,24-04-2014
18,8,29-03-2022
8,18,29-03-2022
19,49,08-05-2014
49,19,08-05-2014
19,36,08-01-2022
36,19,08-01-2022
19,75,13-05-2018
75,19,13-05-2018
19,9,28-09-2017
9,19,28-09-2017
20,75,25-12-2022
75,20,25-12-2022
20,56,21-12-2013
56,20,21-12-2013
20,64,28-11-2011
64,20,28-11-2011
20,51,29-12-2013
51,20,29-12-2013
20,10,11-12-2015
10,20,11-12-2015
20,32,09-12-2011
32,20,09-12-2011
20,92,09-05-2015
92,20,09-05-2015
20,18,01-10-2017
18,20,01-10-2017
20,57,04-01-2023
57,20,04-01-2023
20,44,09-07-2012
44,20,09-07-2012
21,0,10-07-2013
0,21,10-07-2013
21,90,18-04-2016
90,21,18-04-2016
22,68,24-01-2012
68,22,24-01-2012
22,79,03-03-2013
79,22,03-03-2013
23,80,19-11-2012
80,23,19-11-2012
23,4,02-08-2016
4,23,02-08-2016
23,68,12-08-2020
68,23,12-08-2020
23,37,21-11-2014
37,23,21-11-2014
23,21,07-08-2015
21,23,07-08-2015
24,50,29-04-2014
50,24,29-04-2014
24,57,16-11-2018
57,24,16-11-2018
25,76,08-01-2012
76,25,08-01-2012
25,62,18-04-2014
62,25,18-04-2014
25,65,24-09-2010
65,25,24-09-2010
25,28,12-08-2018
28,25,12-08-2018
25,89,21-03-2012
89,25,21-03-2012
25,36,08-11-2017
36,25,08-11-2017
25,96,02-02-2022
96,25,02-02-2022
26,22,12-02-2022
22,26,12-02-2022
26,20,09-05-2019
20,26,09-05-2019
26,32,14-09-2014
32,26,14-09-2014
26,23,11-08-2023
23,26,11-08-2023
27,51,28-04-2021
51,27,28-04-2021
27,66,26-09-2022
66,27,26-09-2022
27,20,08-08-2015
20,27,08-08-2015
27,30,12-08-2020
30,27,12-08-2020
27,72,21-04-2021
72,27,21-04-2021
27,43,11-06-2018
43,27,11-06-2018
27,11,01-02-2023
11,27,01-02-2023
27,47,15-09-2019
47,27,15-09-2019
27,22,20-07-2020
22,27,20-07-2020
28,54,29-06-2013
54,28,29-06-2013
28,11,27-10-2019
11,28,27-10-2019
28,34,09-08-2013
34,28,09-08-2013
28,20,06-08-2021
20,28,06-08-2021
28,50,16-07-2011
50,28,16-07-2011
28,16,18-06-2014
16,28,18-06-2014
28,4,22-11-2013
4,28,22-11-2013
29,75,30-12-2019
75,29,30-12-2019
30,48,02-03-2013
48,30,02-03-2013
30,3,18-09-2019
3,30,18-09-2019
30,84,13-02-2012
84,30,13-02-2012
30,61,15-03-2015
61,30,15-03-2015
30,80,31-08-2011
80,30,31-08-2011
30,60,08-03-2011
60,30,08-03-2011
30,45,14-06-2017
45,30,14-06-2017
30,88,17-01-2020
88,30,17-01-2020
30,36,05-08-2010
36,30,05-08-2010
30,23,26-03-2017
23,30,26-03-2017
31,60,03-07-2016
60,31,03-07-2016
32,94,23-08-2010
94,32,23-08-2010
32,31,18-03-2016
31,32,18-03-2016
32,48,12-11-2016
48,32,12-11-2016
32,11,17-07-2017
11,32,17-07-2017
32,71,30-08-2017
71,32,30-08-2017
32,90,05-09-2015
90,32,05-09-2015
32,76,14-03-2023
76,32,14-03-2023
32,74,04-01-2015
74,32,04-01-2015
32,14,18-02-2022
14,32,18-02-2022
32,13,23-10-2020
13,32,23-10-2020
33,88,21-08-2013
88,33,21-08-2013
33,71,14-03-2019
71,33,14-03-2019
34,54,13-11-2012
54,34,13-11-2012
34,22,15-06-2014
22,34,15-06-2014
34,95,01-08-2019
95,34,01-08-2019
34,24,19-04-2023
24,34,19-04-2023
34,93,20-02-2018
93,34,20-02-2018
34,86,28-08-2019
86,34,28-08-2019
34,18,14-09-2017
18,34,14-09-2017
34,45,13-04-2018
45,34,13-04-2018
34,63,10-05-2017
63,34,10-05-2017
34,67,08-12-2022
67,34,08-12-2022
35,70,18-05-2013
70,35,18-05-2013
35,59,04-01-2022
59,35,04-01-2022
35,30,20-12-2017
30,35,20-12-2017
35,37,29-07-2010
37,35,29-07-2010
35,6,10-03-2018
6,35,10-03-2018
35,57,21-01-2018
57,35,21-01-2018
35,52,25-07-2014
52,35,25-07-2014
36,4,09-04-2015
4,36,09-04-2015
36,88,08-10-2017
88,36,08-10-2017
36,45,11-01-2023
45,36,11-01-2023
36,10,28-02-2012
10,36,28-02-2012
36,74,03-10-2013
74,36,03-10-2013
36,98,23-05-2019
98,36,23-05-2019
36,87,31-10-2013
87,36,31-10-2013
36,50,25-11-2010
50,36,25-11-2010
36,84,11-07-2015
84,36,11-07-2015
37,18,25-03-2010
18,37,25-03-2010
37,89,24-08-2014
89,37,24-08-2014
37,36,14-01-2023
36,37,14-01-2023
37,73,19-04-2021
73,37,19-04-2021
38,15,09-08-2011
15,38,09-08-2011
38,37,30-06-2013
37,38,30-06-2013
38,41,15-06-2012
41,38,15-06-2012
38,50,23-07-2020
50,38,23-07-2020
38,20,13-07-2018
20,38,13-07-2018
38,82,03-11-2020
82,38,03-11-2020
38,58,27-03-2021
58,38,27-03-2021
38,67,23-03-2021
67,38,23-03-2021
38,66,14-03-2019
66,38,14-03-2019
38,85,14-08-2023
85,38,14-08-2023
39,50,23-03-2021
50,39,23-03-2021
39,8,19-12-2021
8,39,19-12-2021
39,85,02-11-2022
85,39,02-11-2022
39,55,04-11-2013
55,39,04-11-2013
40,69,07-08-2016
69,40,07-08-2016
40,66,23-03-2014
66,40,23-03-2014
40,36,07-03-2020
36,40,07-03-2020
40,95,25-04-2017
95,40,25-04-2017
40,48,08-11-2012
48,40,08-11-2012
40,64,14-05-2023
64,40,14-05-2023
41,77,28-07-2019
77,41,28-07-2019
41,47,29-04-2020
47,41,29-04-2020
41,3,27-04-2011
3,41,27-04-2011
41,94,28-04-2016
94,41,28-04-2016
41,51,25-03-2020
51,41,25-03-2020
41,42,22-01-2018
42,41,22-01-2018
42,44,12-03-2012
44,42,12-03-2012
42,23,18-10-2010
23,42,18-10-2010
43,69,07-07-2015
69,43,07-07-2015
43,94,13-11-2010
94,43,13-11-2010
43,82,29-06-2011
82,43,29-06-2011
43,18,01-04-2020
18,43,01-04-2020
43,15,11-12-2011
15,43,11-12-2011
44,33,20-10-2010
33,44,20-10-2010
44,85,08-04-2013
85,44,08-04-2013
45,73,21-12-2019
73,45,21-12-2019
45,2,07-04-2017
2,45,07-04-2017
45,95,26-06-2023
95,45,26-06-2023
45,38,24-10-2013
38,45,24-10-2013
45,20,14-04-2015
20,45,14-04-2015
45,49,21-01-2011
49,45,21-01-2011
45,74,01-03-2016
74,45,01-03-2016
45,40,02-04-2015
40,45,02-04-2015
46,7,19-05-2016
7,46,19-05-2016
46,58,28-03-2015
58,46,28-03-2015
46,33,15-04-2019
33,46,15-04-2019
46,45,02-10-2012
45,46,02-10-2012
46,77,19-08-2012
77,46,19-08-2012
46,92,23-01-2017
92,46,23-01-2017
46,34,20-08-2021
34,46,20-08-2021
47,28,08-04-2012
28,47,08-04-2012
47,59,27-04-2014
59,47,27-04-2014
47,91,05-09-2021
91,47,05-09-2021
47,70,21-01-2010
70,47,21-01-2010
47,42,13-09-2012
42,47,13-09-2012
47,77,23-11-2019
77,47,23-11-2019
48,88,10-08-2017
88,48,10-08-2017
48,1,29-05-2016
1,48,29-05-2016
48,56,29-04-2021
56,48,29-04-2021
48,20,14-11-2012
20,48,14-11-2012
48,31,10-09-2014
31,48,10-09-2014
48,17,07-09-2017
17,48,07-09-2017
48,35,29-12-2010
35,48,29-12-2010
48,98,24-05-2015
98,48,24-05-2015
48,10,31-08-2014
10,48,31-08-2014
49,86,10-02-2020
86,49,10-02-2020
49,52,08-04-2015
52,49,08-04-2015
49,58,31-07-2016
58,49,31-07-2016
49,20,25-10-2010
20,49,25-10-2010
49,11,01-11-2019
11,49,01-11-2019
49,55,13-01-2021
55,49,13-01-2021
